Tweet,Created Date,Retweets,Favourites,Engagement,No of Hashtags,No of User Mentions,No of URLS added,No of Media added,Tweeted Username,Replied To Username,Post Type,Media Type,Is Quote Tweet,Is Retweeted,Language (Tweets) ,Country,Location (Tweets) ,Location Full Name,Location Type,Hashtags,User Mentions,URLS Used,Media URLS,Name,Username,Created Date (Handles) ,Language (Handles) ,Tweets,Followers,Friends,Favourites (Handles) ,Listed Count,Location (Handles) ,Protected,Verified,URL,Description,Profile Image URL,Account Age in Days,Avg Tweets per day
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/Z1VB2wrGjy",2019/11/17 13:52,73,751,824,5,0,0,4,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EJjJ238UYAAOw1P.jpg,http://pbs.twimg.com/media/EJjJ237VAAEYhY2.jpg,http://pbs.twimg.com/media/EJjJ236U0AArJsr.jpg,http://pbs.twimg.com/media/EJjJ24BUcAEePj-.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/ywgx6cm3qt",2019/11/17 14:16,581,4433,5014,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1195933079417671680/pu/img/_N_gdvyRm_MSOX9H.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/TVYkracx9z",2019/11/17 16:31,129,1114,1243,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1195967487570894848/pu/img/ldve7oEJDriUrR-1.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/bdYxZrHv6n",2019/11/17 21:05,126,995,1121,5,0,0,3,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EJks3S4U4AAxhK5.jpg,http://pbs.twimg.com/media/EJks3S5UEAA0w3C.jpg,http://pbs.twimg.com/media/EJks3S6VAAE8fkn.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/pzn7uPopjM",2019/11/17 21:09,80,700,780,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EJkt9AOU8AAuB-Y.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
ゲーム・クリエイター小島秀夫が目指す、インディーズ新時代の新しい「道」。 | News | Pen Online https://t.co/YmZlSOzi9e,2019/11/17 23:50,90,463,553,0,0,1,0,Kojima_Hideo,,Original Tweet,Text,いいえ,いいえ,Japanese,,,,,,,https://www.pen-online.jp/news/culture/creatorsvoice_191101/,,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding https://t.co/uwHmqLcmA8",2019/11/17 23:56,240,1738,1978,4,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding",,,http://pbs.twimg.com/ext_tw_video_thumb/1196078347299614720/pu/img/qHYrTtp03x3RgAHy.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding https://t.co/AVenEOxevR",2019/11/18 0:19,76,1055,1131,4,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding",,,"http://pbs.twimg.com/media/EJlYzdUU8AYn96X.jpg,http://pbs.twimg.com/media/EJlYzdVUEAEDG8Z.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/fYjWKMnk51",2019/11/18 1:24,153,1294,1447,5,0,0,4,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EJloPB4UUAM_2_l.jpg,http://pbs.twimg.com/media/EJloPB4UUAEs1qt.jpg,http://pbs.twimg.com/media/EJloPB3UEAEK62R.jpg,http://pbs.twimg.com/media/EJloPB4UEAAvLER.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"おはようございます。

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/3xkobkNotK",2019/11/18 8:20,238,1947,2185,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EJnHceyVAAI_xgK.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
